Marca temporal,Tienes telefono,Redes sociales,Uso,Frecuencia de uso,Sueles colgar fotos tuyas,Tus amigos suben de ti?,Te piden permiso,"Twitter, sigues a los que te siguen?",Hay peligro en las redes sociales,Sexo,Edad
18/12/2014 9:33:09,No,,,,,Nunca,Siempre,,si,H,12
18/12/2014 9:34:18,Si smart,Instagram,"Amigos antiguos, Subir fotos",Algunos dias,si sale mas gente pido permiso,Algunas,Algunos si,,si,H,12
18/12/2014 9:35:25,Si smart,"Twitter, Tuenti, Instagram, Whatsapp","Contacto con amigos, Amigos antiguos, Subir fotos, Seguir a famosos, ver fotos","Todos los dias, mas de una hora",si sale mas gente pido permiso,Muchas,Nunca,"solo amigos, rara vez",no lo se,H,12
18/12/2014 9:36:53,Si smart,Whatsapp,"Contacto con amigos, Amigos antiguos, Seguir a famosos","Todos los dias, mas de una hora",si sale mas gente pido permiso,Nunca,Siempre,solo amigos,si,H,
18/12/2014 9:37:49,Si smart,Whatsapp,"Contacto con amigos, Amigos antiguos","Todos los dias, menos de una hora",no subo nada,Nunca,Nunca,,si,H,12
18/12/2014 9:38:47,,"Instagram, Whatsapp","Contacto con amigos, Amigos antiguos","Todos los dias, mas de una hora",Subo la mayoria,Muchas,Nunca,solo amigos,si,H,12
18/12/2014 9:39:46,"Si, movil",Instagram,"Contacto con amigos, Amigos antiguos","Todos los dias, mas de una hora",solo algunas,Algunas,Algunos si,,si,H,12
18/12/2014 9:40:23,Si smart,Whatsapp,,"Todos los dias, menos de una hora",no subo nada,Algunas,Siempre,,si,H,12
18/12/2014 9:41:48,Si smart,"Instagram, Whatsapp","Contacto con amigos, Subir fotos, Seguir a famosos","Todos los dias, mas de una hora",Subo la mayoria,Algunas,Algunos si,,si,H,12
18/12/2014 9:42:33,Si smart,"Twitter, Whatsapp",Contacto con amigos,"Todos los dias, mas de una hora",no subo nada,Algunas,Siempre,rara vez,si,H,
18/12/2014 9:43:24,Si smart,Whatsapp,,Una vez a la semana,no subo nada,Nunca,,,si,H,12
18/12/2014 9:46:00,Si smart,"Facebook, Twitter, Tuenti, Whatsapp, Youtube","Subir fotos, Seguir a famosos","Todos los dias, menos de una hora",no subo nada,Algunas,,rara vez,si,H,
18/12/2014 9:46:42,"Si, movil","Instagram, Whatsapp",Contacto con amigos,Una vez a la semana,no subo nada,Nunca,Siempre,solo amigos,si,H,12
18/12/2014 9:47:16,Si smart,"Twitter, Whatsapp","Contacto con amigos, Amigos antiguos","Todos los dias, menos de una hora",no subo nada,Nunca,Nunca,solo amigos,si,H,12
18/12/2014 9:48:21,"Si, movil",Whatsapp,"Contacto con amigos, Amigos antiguos, Preguntar deberes","Todos los dias, mas de una hora",si sale mas gente pido permiso,Algunas,Algunos si,,si,H,12
18/12/2014 9:50:51,Si smart,"Twitter, Instagram, Whatsapp, Youtube","Contacto con amigos, Subir fotos, Ver videos","Todos los dias, mas de una hora",si sale mas gente pido permiso,Nunca,Algunos si,solo amigos,si,H,12
18/12/2014 9:51:42,"Si, movil","Facebook, Twitter, Tuenti, Instagram, Youtube","Contacto con amigos, Subir fotos","Todos los dias, mas de una hora",solo algunas,Muchas,Algunos si,"Si, siempre",si,H,12
